,Name,Year,Category,Countries,Gender
831,John M. Kosterlitz,2016,Physics,"United Kingdom, United States",Man
832,Oliver Hart,2016,Economics,"United Kingdom, United States",Man
833,Bob Dylan,2016,Literature,United States,Man
834,Joachim Frank,2017,Chemistry,"Germany, United States",Man
835,Rainer Weiss,2017,Physics,"Germany, United States",Man
836,Kazuo Ishiguro,2017,Literature,"Japan, United Kingdom",Man
837,Jacques Dubochet,2017,Chemistry,Switzerland,Man
838,Richard Henderson,2017,Chemistry,United Kingdom,Man
839,Barry Barish,2017,Physics,United States,Man
840,Jeffrey C. Hall,2017,Physiology or Medicine,United States,Man
841,Kip Thorne,2017,Physics,United States,Man
842,Michael Rosbash,2017,Physiology or Medicine,United States,Man
843,Michael W. Young,2017,Physiology or Medicine,United States,Man
844,Richard Thaler,2017,Economics,United States,Man
845,Denis Mukwege,2018,Peace,"Congo, Democratic Republic",Man
846,Gérard Mourou,2018,Physics,France,Man
847,Tasuku Honjo,2018,Physiology or Medicine,Japan,Man
848,Greg Winter,2018,Chemistry,United Kingdom,Man
849,Arthur Ashkin,2018,Physics,United States,Man
850,George P. Smith,2018,Chemistry,United States,Man
851,James P. Allison,2018,Physiology or Medicine,United States,Man
852,"William Nordhaus
Paul Romer",2018,Economics,United States,Man
853,James Peebles,2019,Physics,"Canada, United States",Man
854,Peter Handke,2019,Literature,Austria,Man
855,Abiy Ahmed,2019,Peace,Ethiopia,Man
856,Abhijit Banerjee,2019,Economics,"India, United States",Man
857,Akira Yoshino,2019,Chemistry,Japan,Man
858,Didier Queloz,2019,Physics,Switzerland,Man
859,Michel Mayor,2019,Physics,Switzerland,Man
860,Peter J. Ratcliffe,2019,Physiology or Medicine,United Kingdom,Man
861,M. Stanley Whittingham,2019,Chemistry,"United Kingdom, United States",Man
862,Gregg L. Semenza,2019,Physiology or Medicine,United States,Man
863,John B. Goodenough,2019,Chemistry,United States,Man
864,Michael Kremer,2019,Economics,United States,Man
865,William Kaelin Jr.,2019,Physiology or Medicine,United States,Man
866,Institut de Droit International,1904,Peace,Belgium,Organization
867,International Peace Bureau,1910,Peace,-,Organization
868,International Committee of the Red Cross,1917,Peace,-,Organization
869,The Viscount Cecil of Chelwood,1937,Peace,United Kingdom,Organization
870,Nansen International Office For Refugees,1938,Peace,-,Organization
871,International Committee of the Red Cross,1944,Peace,-,Organization
872,Friends Service Council,1947,Peace,United Kingdom,Organization
873,American Friends Service Committee,1947,Peace,United States,Organization
874,United Nations High Commissioner for Refugees,1954,Peace,-,Organization
875,International Committee of the Red Cross,1963,Peace,-,Organization
876,League of Red Cross societies,1963,Peace,-,Organization
877,United Nations International Children's Emergency Fund,1965,Peace,-,Organization
878,International Labour Organization,1969,Peace,-,Organization
879,Amnesty International,1977,Peace,United Kingdom,Organization
880,United Nations High Commissioner for Refugees,1981,Peace,-,Organization
881,International Physicians for the Prevention of Nuclear War,1985,Peace,-,Organization
882,United Nations Peace-Keeping Forces,1988,Peace,-,Organization
883,Pugwash Conferences on Science and World Affairs,1995,Peace,Canada,Organization
884,International Campaign to Ban Landmines,1997,Peace,-,Organization
885,Médecins Sans Frontières,1999,Peace,France,Organization
886,United Nations,2001,Peace,-,Organization
887,International Atomic Energy Agency,2005,Peace,Austria,Organization
888,Grameen Bank,2006,Peace,Bangladesh,Organization
889,Intergovernmental Panel on Climate Change,2007,Peace,-,Organization
890,European Union,2012,Peace,-,Organization
891,Organisation for the Prohibition of Chemical Weapons,2013,Peace,Netherlands,Organization
892,Tunisian National Dialogue Quartet,2015,Peace,Tunisia,Organization
893,International Campaign to Abolish Nuclear Weapons,2017,Peace,-,Organization
894,Ada Yonath,2009,Chemistry,Israel,Woman
895,Alice Munro,2013,Literature,Canada,Woman
896,Alva Myrdal,1982,Peace,Sweden,Woman
897,Aung San Suu Kyi,1991,Peace,Burma,Woman
898,Barbara McClintock,1983,Physiology or Medicine,United States,Woman
899,Bertha von Suttner,1905,Peace,Czech Republic,Woman
900,Betty Williams,1976,Peace,"Ireland, United Kingdom",Woman
901,Carol W. Greider,2009,Physiology or Medicine,United States,Woman
902,Christiane Nüsslein-Volhard,1995,Physiology or Medicine,Germany,Woman
903,Donna Strickland,2018,Physics,Canada,Woman
904,Doris Lessing,2007,Literature,"Iran, United Kingdom",Woman
905,Dorothy Hodgkin,1964,Chemistry,United Kingdom,Woman
906,Elfriede Jelinek,2004,Literature,Austria,Woman
907,Elinor Ostrom,2009,Economics,United States,Woman
908,Elizabeth Blackburn,2009,Physiology or Medicine,"Australia, United States",Woman
909,Ellen Johnson Sirleaf,2011,Peace,Liberia,Woman
910,Emily Greene Balch,1946,Peace,United States,Woman
911,Esther Duflo,2019,Economics,"France, United States",Woman
912,Frances H. Arnold,2018,Chemistry,United States,Woman
913,Françoise Barré-Sinoussi,2008,Physiology or Medicine,France,Woman
914,Gabriela Mistral,1945,Literature,Chile,Woman
915,Gertrude B. Elion,1988,Physiology or Medicine,United States,Woman
916,Gerty Cori,1947,Physiology or Medicine,"Czech Republic, United States",Woman
917,Grazia Deledda,1926,Literature,Italy,Woman
918,Herta Müller,2009,Literature,"Germany, Romania",Woman
919,Irène Joliot-Curie,1935,Chemistry,France,Woman
920,Jane Addams,1931,Peace,United States,Woman
921,Jody Williams,1997,Peace,United States,Woman
922,Leymah Gbowee,2011,Peace,Liberia,Woman
923,Linda B. Buck,2004,Physiology or Medicine,United States,Woman
924,Mairead Maguire,1976,Peace,"Ireland, United Kingdom",Woman
925,Malala Yousafzai,2014,Peace,Pakistan,Woman
926,Maria Goeppert-Mayer,1963,Physics,"Germany, United States",Woman
927,Marie Skłodowska-Curie,1903,Physics,"France, Poland",Woman
928,Marie Skłodowska-Curie,1911,Chemistry,"France, Poland",Woman
929,May-Britt Moser,2014,Physiology or Medicine,Norway,Woman
930,Mother Teresa,1979,Peace,"India, North Macedonia",Woman
931,Nadia Murad,2018,Peace,Iraq,Woman
932,Nadine Gordimer,1991,Literature,South Africa,Woman
933,Nelly Sachs,1966,Literature,"Germany, Sweden",Woman
934,Olga Tokarczuk,2018,Literature,Poland,Woman
935,Pearl S. Buck,1938,Literature,United States,Woman
936,Rigoberta Menchú,1992,Peace,Guatemala,Woman
937,Rita Levi-Montalcini,1986,Physiology or Medicine,"Italy, United States",Woman
938,Rosalyn Sussman Yalow,1977,Physiology or Medicine,United States,Woman
939,Selma Lagerlöf,1909,Literature,Sweden,Woman
940,Shirin Ebadi,2003,Peace,Iran,Woman
941,Sigrid Undset,1928,Literature,Norway,Woman
942,Svetlana Alexievich,2015,Literature,"Belarus, Ukraine",Woman
943,Tawakkol Karman,2011,Peace,Yemen,Woman
944,Toni Morrison,1993,Literature,United States,Woman
945,Tu Youyou,2015,Physiology or Medicine,China,Woman
946,Wangari Maathai,2004,Peace,Kenya,Woman
947,Wisława Szymborska,1996,Literature,Poland,Woman
