Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",284.53,269.826,263.674,267.019,269.938,273.184,276.893,281.613,2015
Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,616.40","3,601.68","3,358.33","3,675.17","3,885.24","4,132.54","4,396.57","4,690.87",2018
Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,504.26","1,620.47","1,571.92","1,680.02","1,803.11","1,937.86","2,083.75","2,233.43",2018
Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,555.67","1,523.66","1,493.12","1,657.08","1,732.48","1,811.66","1,901.72","1,994.37",2010
Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","46,391.05","46,271.72","42,080.05","45,870.64","48,308.05","50,520.91","52,602.94","54,726.41",2019
Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",488.589,479.863,480.49,521.753,554.245,586.26,617.746,650.074,2004
Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",713.034,685.677,639.847,710.177,749.266,781.699,811.874,842.268,2017
Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,903.01","14,772.11","12,612.32","14,208.69","15,282.56","16,241.74","17,111.94","17,947.19",2019
China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,919.81","10,286.58","10,582.10","11,712.85","12,706.83","13,799.14","14,981.57","16,242.18",2018
Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,692.12","6,423.18","5,207.24","5,456.71","5,713.40","5,999.32","6,299.50","6,614.74",2019
Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,386.01","1,362.42","1,336.95","1,431.08","1,486.16","1,541.03","1,594.49","1,651.21",2015
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",495.635,508.953,456.892,477.888,489.987,502.834,517.742,532.956,2019
Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,007.47","2,745.80","2,128.23","2,271.21","2,344.16","2,427.76","2,479.09","2,544.13",2017
Costa Rica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,123.96","12,243.84","11,629.01","11,804.69","12,415.74","13,002.83","13,605.12","14,252.44",2019
Côte d'Ivoire,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,254.10","2,229.56","2,281.42","2,570.76","2,732.01","2,882.05","3,045.35","3,217.92",2015
Croatia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,915.87","14,853.02","14,033.24","16,401.47","17,792.74","19,101.83","20,428.34","21,542.01",2019
