,Manga ID,English Title,Japanese Title,Type,Volumes,Chapters,Status,Published,Genres,Author,Serialization,Score,Ranked,Popularity,Members
129,9711,Bakuman。,BAKUMAN。 バクマン。,Manga,20,176,Finished,"Aug  11, 2008 to Apr  23, 2012","['Comedy', 'Drama', 'Romance', 'Shounen']","['Obata, Takeshi (Art)', ' Ohba, Tsugumi (Story)']",Shounen Jump (Weekly),8.46,130,25,124737
130,10552,Lucifer and the Biscuit Hammer,惑星のさみだれ,Manga,10,65,Finished,"Jun  30, 2005 to Aug  30, 2010","['Action', 'Adventure', 'Comedy', 'Drama', 'Psychological', 'Seinen']","['Mizukami, Satoshi (Story & Art)']",Young King OURs GH,8.46,131,202,40407
131,419,Nodame Cantabile,のだめカンタービレ,Manga,25,150,Finished,"Jul  10, 2001 to Aug  25, 2010","['Comedy', 'Romance', 'Slice', 'Slice', 'Josei']","['Ninomiya, Tomoko (Story & Art)']",Kiss,8.45,132,448,20817
132,658,Blade of the Immortal,無限の住人,Manga,30,207,Finished,"Jun  25, 1993 to Dec  25, 2012","['Action', 'Adventure', 'Drama', 'Historical', 'Martial', 'Martial', 'Samurai', 'Supernatural', 'Seinen']","['Samura, Hiroaki (Story & Art)']",Afternoon,8.45,133,177,44010
133,1469,Unknown,ガラスの仮面,Manga,Unknown,Unknown,Publishing,Jan 1976 to ?,"['Drama', 'Romance', 'Shoujo']","['Miuchi, Suzue (Story & Art)']",Hana to Yume,8.45,134,1507,7498
134,3299,Spice & Wolf,狼と香辛料,Manga,16,108,Finished,"Sep  27, 2007 to Dec  27, 2017","['Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Supernatural', 'Seinen']","['Koume, Keito (Art)', ' Hasekura, Isuna (Story)']",Dengeki Maoh,8.45,135,346,27049
135,17051,Barakamon,ばらかもん,Manga,18,135,Finished,"Feb  22, 2008 to Jan  10, 2019","['Comedy', 'Shounen', 'Slice', 'Slice']","['Yoshino, Satsuki (Story & Art)']",Gangan Online,8.45,136,374,25201
136,21498,Umineko WHEN THEY CRY Episode 5: End of the Golden Witch,うみねこのなく頃に散 - Episode 5: End of the Golden Witch,Manga,6,27,Finished,"Oct  22, 2010 to Nov  22, 2012","['Mystery', 'Drama', 'Fantasy', 'Horror', 'Magic', 'Shounen', 'Supernatural', 'Psychological', 'Thriller']","['Ryukishi07 (Story)', ' Akitaka (Art)']",Gangan Joker,8.45,137,1546,7290
137,30079,Annarasumanara,안나라수마나라,Manhwa,3,27,Finished,"Jul  2, 2010 to Dec  31, 2010","['Mystery', 'Drama', 'Romance', 'School', 'Psychological', 'Seinen']","['Ha, Il-Kwon (Story & Art)']",Naver Webtoon,8.45,138,172,44623
138,39859,Unknown,STEINS;GATE,Novel,5,17,Finished,"Jun  30, 2011 to May  31, 2012","['Sci', 'Sci', 'Thriller']","['Sakai, Kyuuta (Art)', ' Miwa, Kiyomune (Story)']",None,8.45,139,1890,6134
