Title,Gross,Gross (Adjusted),Year
Iron Man,319034126,415951166,2008
The Caine Mutiny,21750000,415913686,1954
Transformers: Dark of the Moon,352390543,414724633,2011
Meet the Fockers,279261160,413901010,2004
Indiana Jones and the Kingdom of the Crystal Skull,317101119,413821365,2008
Jumanji: Welcome to the Jungle,404540171,413515903,2017
2001: A Space Odyssey,60541301,409839115,1968
Dances with Wolves,184208848,409462441,1990
An Officer and a Gentleman,129795554,409065153,1982
Guardians of the Galaxy Vol. 2,389813101,408124405,2017
Spider-Man: Far from Home,390532085,406098611,2019
Rain Man,172825435,405643229,1988
The Secret Life of Pets,368384330,405475506,2016
Guess Who's Coming to Dinner,56666667,405318090,1967
American Sniper,350126372,403659600,2014
Kramer vs. Kramer,106260000,403099274,1979
Armageddon,201578182,402726348,1998
Psycho,32000000,399786979,1960
Harry Potter and the Order of the Phoenix,292353413,399669854,2007
Inside Out,356921711,398811562,2015
Rocky III,125049125,398348684,1982
Rambo: First Blood Part II,150415432,397011585,1985
Batman Forever,184069126,396446574,1995
Deadpool,363070709,396285410,2016
Pretty Woman,178406268,395192868,1990
Earthquake,79666653,394961429,1974
Alice in Wonderland,334191110,394495740,2010
The Incredibles,261441092,393821100,2004
Cast Away,233632142,392548654,2000
Home Alone 2: Lost in New York,173585516,392130752,1992
The Jungle Book,364001123,390829259,2016
Three Men and a Baby,167780960,390764606,1987
My Big Fat Greek Wedding,241438208,388100715,2002
Guardians of the Galaxy,333176600,385834112,2014
Furious 7,353007020,384393006,2015
Mission: Impossible,180981856,383664957,1996
The Hunger Games: Mockingjay - Part 1,337135885,381611053,2014
Minions,336045770,381492054,2015
Harry Potter and the Half-Blood Prince,302305431,381195025,2009
Saturday Night Fever,94213184,380466039,1977
On Golden Pond,119285432,380274891,1981
Austin Powers: The Spy Who Shagged Me,206040086,380038767,1999
Harry Potter and the Prisoner of Azkaban,249975996,378596724,2004
Bruce Almighty,242829261,377331774,2003
Funny Girl,52223306,375170115,1968
Mission: Impossible II,215409889,374469239,2000
Rush Hour 2,226164286,374410208,2001
Apollo 13,173837933,373466649,1995
Patton,61749765,373287682,1970
Fatal Attraction,156645693,371808159,1987
Iron Man 2,312433331,371691971,2010
Zootopia,341268248,371109157,2016
Liar Liar,181410615,370330510,1997
