,Rank,Country,Player,Accuracy,Play Count,Performance,SS,S,A
47,748,Canada,Ignite,99.01%,"155,205","10,707",233,"1,650","1,681"
48,749,Australia,Thewiccaman,98.02%,"81,006","10,707",144,897,"1,160"
49,750,United States,Shimo,98.22%,"55,634","10,705",25,466,870
0,751,United Kingdom,Nemesis_Neon,98.30%,"144,656","10,705",119,"1,769","1,707"
1,752,Poland,Victoor,98.39%,"121,473","10,702",78,"1,875","1,925"
2,753,Turkey,Venrue,98.12%,"92,611","10,697",24,332,861
3,754,Denmark,Uno,97.41%,"34,242","10,695",64,523,621
4,755,Uruguay,FDX,97.22%,"111,330","10,694",21,724,"1,150"
5,756,Hong Kong,My Angel Jeremy,97.82%,"76,708","10,694",55,"1,415","1,635"
6,757,Belgium,R3m,97.19%,"125,259","10,693",29,523,999
7,758,Sweden,scylla,98.91%,"59,306","10,692",155,899,806
8,759,Portugal,serg,97.80%,"94,837","10,691",23,599,"1,396"
9,760,South Korea,GoldenMine,96.86%,"29,859","10,689",41,436,743
10,761,United States,- PirateLoli -,96.44%,"53,658","10,682",93,879,"1,233"
11,762,United Kingdom,Doomsday,98.28%,"315,624","10,679",956,"8,145","2,741"
12,763,Argentina,Lexalia,98.89%,"107,236","10,677",167,"1,518","1,234"
13,764,Finland,Zac Efron,98.32%,"152,592","10,677",56,810,"1,993"
14,765,Argentina,Emiru Ikuno 2,98.08%,"53,778","10,676",91,848,"1,701"
15,766,Russian Federation,desuqe,96.47%,"129,691","10,674",28,539,869
16,767,Japan,zeluaR,99.34%,"150,439","10,670",484,"2,507",111
17,768,United States,Raniemi,100.00%,"41,710","10,668",580,0,0
18,769,Russian Federation,OMAAH4UK,94.83%,"83,791","10,667",9,530,922
19,770,Russian Federation,azaz08967565,98.42%,"133,124","10,666",69,699,384
20,771,Russian Federation,_Kyori,98.63%,"174,940","10,664",186,"1,016","2,111"
21,772,Poland,KAMUU,98.51%,"165,740","10,664",43,845,"2,059"
22,773,Uruguay,Rekaru,99.33%,"91,609","10,663",332,"1,795","1,029"
23,774,United States,Passara,98.07%,"136,158","10,662",22,"2,221","2,243"
24,775,Netherlands,sk0,99.46%,"108,735","10,659",365,"1,948","1,538"
25,776,South Korea,Suyong_,94.32%,"67,050","10,658",28,383,530
26,777,Australia,xClusion,98.85%,"51,074","10,655",63,926,861
27,778,Russian Federation,eternal-,97.48%,"55,343","10,653",62,710,"1,160"
28,779,United Kingdom,Razuh,97.10%,"101,694","10,652",226,"1,749","1,941"
29,780,Norway,Njulsen,97.28%,"79,686","10,651",27,463,"1,450"
30,781,Vietnam,sindes19,98.11%,"84,083","10,649",12,546,632
31,782,South Korea,Article,96.39%,"55,524","10,647",3,297,541
32,783,Germany,Bot Vanilla,95.62%,"6,673","10,645",52,232,191
33,784,Vietnam,momo,98.42%,"79,905","10,640",66,601,"1,071"
34,785,Poland,KosiarkaTOP1,96.89%,"93,310","10,638",55,500,894
35,786,Argentina,SlowBurn,98.89%,"69,485","10,637",33,746,"1,639"
36,787,Germany,Firstus,98.76%,"89,138","10,636",216,"2,815","1,971"
37,788,Russian Federation,Enns,99.47%,"101,643","10,636",93,820,747
38,789,Australia,realkirito,92.55%,"40,555","10,633",12,31,163
39,790,Philippines,---Mikoto,95.97%,"111,461","10,628",30,"1,443","1,141"
40,791,Norway,comfv,98.76%,"144,633","10,623",126,903,"2,553"
41,792,Malaysia,ShaneLiang,98.47%,"77,395","10,623",31,961,"1,469"
42,793,Poland,Esemoka,97.46%,"142,487","10,622",40,863,774
43,794,Australia,woo6821,97.85%,"67,101","10,620",10,217,324
44,795,United States,G Eleven,93.73%,"76,036","10,619",10,254,365
45,796,Chile,Hellbeak,98.84%,"103,279","10,613",54,"1,182","1,286"
46,797,United States,Timowoof,98.68%,"104,385","10,613",65,"2,352","3,333"
47,798,Brazil,Porbinhos,97.61%,"65,098","10,612",18,315,707
48,799,Germany,Addy2607,99.33%,"134,437","10,607","1,238","4,399","1,585"
49,800,Sweden,Saika0k1,98.98%,"99,234","10,601",38,803,"1,437"
0,801,United States,byfar,96.70%,"77,245","10,601",15,681,"1,282"
1,802,Argentina,Serena,99.16%,"111,597","10,599",755,"1,590",793
2,803,Morocco,Doge Owner,98.78%,"114,856","10,599",290,"1,275",852
3,804,Serbia,skylewl,97.99%,"173,813","10,596",112,"1,581","2,193"
4,805,United States,Jorlando,95.17%,"119,088","10,594",44,630,571
5,806,Australia,Stubbie,97.38%,"139,356","10,592",38,586,"1,006"
6,807,Finland,Maffe,97.57%,"82,436","10,592",102,"1,215","1,585"
7,808,Ukraine,Ak1ra,96.78%,"131,219","10,590",18,333,"1,405"
8,809,Malaysia,ALtist,97.04%,"104,677","10,589",72,755,909
9,810,Japan,Homutan,98.69%,"80,937","10,585",26,514,"1,060"
10,811,Poland,BLADE69,99.16%,"105,841","10,584",831,"5,664","2,921"
11,812,Poland,Hippo,98.42%,"46,966","10,583",69,742,"1,449"
12,813,United States,Saint,97.38%,"70,100","10,581",46,710,"1,041"
13,814,South Korea,MINEMINE,99.09%,"42,051","10,578",106,910,426
14,815,Canada,IDAN,99.44%,"105,998","10,577",102,702,852
15,816,United States,Cuckweezy,98.94%,"130,082","10,576",93,632,451
16,817,China,Totoki,98.29%,"129,118","10,576",257,"3,372",855
17,818,Belarus,Nesstro1337,93.42%,"79,730","10,573",41,696,570
18,819,Latvia,waywern2012,98.00%,"93,366","10,573",147,"1,396","2,236"
19,820,Russian Federation,DJ EBAN,99.27%,"115,191","10,572",161,"1,053",905
20,821,United States,Rhythmical,98.63%,"79,850","10,568",25,533,993
21,822,Hong Kong,KwAIMSuckASFuk,96.37%,"52,243","10,567",15,539,"1,015"
22,823,United States,BearZyo,97.64%,"96,253","10,567",164,804,"1,733"
23,824,Germany,Shiny Chariot,98.78%,"189,761","10,567",76,939,819
24,825,Thailand,Chorus,96.74%,"99,010","10,565",31,"1,159","1,932"
25,826,United States,Mag,97.96%,"93,448","10,564",14,275,652
26,827,Netherlands,DutchTacoNL,97.21%,"138,276","10,556",84,"1,932","2,737"
27,828,Hong Kong,Koltay,99.44%,"81,506","10,555","13,085","3,153","2,473"
28,829,United States,rykr,97.34%,"53,032","10,554",53,835,"1,095"
29,830,Japan,-HERO-,97.10%,"205,838","10,553",158,999,"1,345"
30,831,Canada,Incredibeast1,98.89%,"97,343","10,552",253,619,655
31,832,United States,Bunnylikemoney,97.75%,"64,131","10,549",13,326,414
32,833,United States,FlashoFoSho,94.66%,"165,154","10,548",42,862,"1,033"
33,834,Poland,laroxPL,97.58%,"55,201","10,548",322,"2,153",983
34,835,Brazil,IoahimLow,96.66%,"72,345","10,547",22,651,"1,062"
35,836,France,Vlad,98.71%,"50,654","10,546",44,447,558
36,837,Canada,Ralyks,97.03%,"40,959","10,545",10,595,604
37,838,Poland,r0ck,99.05%,"120,078","10,542",285,"2,989","1,583"
38,839,South Korea,[Mashiro],98.66%,"147,924","10,542",181,"1,098",681
39,840,Australia,Jophes,98.14%,"67,588","10,542",64,586,"2,129"
40,841,United States,ImaHax3r,97.05%,"78,286","10,539",56,453,574
41,842,Latvia,Janixs,98.98%,"61,814","10,539",29,248,248
42,843,Japan,Twintail,98.96%,"130,592","10,537","2,454","1,669",842
43,844,Brazil,Gaiava,98.57%,"99,133","10,532",36,"1,576","1,422"
44,845,Finland,tikkanen,97.23%,"144,970","10,532",48,"1,014",811
45,846,United States,LighScrap,95.92%,"31,838","10,530",4,306,336
46,847,South Korea,qtz,99.18%,"68,655","10,529",77,"1,375","1,416"
47,848,Singapore,GSBlank,98.81%,"155,241","10,524",146,"4,795","3,974"
48,849,South Korea,wise and clean,97.64%,"30,765","10,523",54,623,209
49,850,Croatia,KarliXon,98.57%,"75,723","10,521",28,492,"2,619"
0,851,Japan,Saimonea,98.43%,"93,260","10,520",245,818,435
1,852,United States,DraguinZZ,97.99%,"147,311","10,517",69,"1,650","2,236"
2,853,Japan,gasanww,99.47%,"299,969","10,515","2,427","4,973",771
3,854,Russian Federation,Avernus,98.06%,"74,976","10,513",21,"1,081","1,345"
4,855,Poland,227,96.79%,"52,260","10,511",23,415,789
5,856,Japan,Fixelkey,98.22%,"71,064","10,510",42,534,"1,301"
6,857,Canada,MadLad,98.40%,"130,119","10,507",51,"1,309","1,412"
7,858,Germany,SgtCataclyst,98.61%,"68,787","10,506",35,925,"1,265"
8,859,South Korea,sayonara-bye,98.82%,"129,124","10,506",195,"2,582","1,272"
9,860,Netherlands,Ahmnesia,98.29%,"96,836","10,505",112,"1,233","1,623"
10,861,Vietnam,waifaii,95.63%,"47,589","10,500",0,36,673
11,862,Chile,pyon,98.93%,"106,474","10,497",270,"2,060",847
12,863,Poland,Szatano,96.30%,"34,717","10,497",25,603,"1,099"
13,864,Canada,Squapple,98.84%,"55,000","10,496",27,720,755
14,865,Indonesia,Ganjo,99.03%,"65,687","10,496",50,797,"1,521"
15,866,Japan,Risea,98.59%,"105,284","10,496",173,895,"1,994"
16,867,South Korea,Lee Yoon Hyuk,98.18%,"259,088","10,495",38,451,776
17,868,Poland,sbsonic,98.18%,"102,585","10,491",131,697,831
18,869,Canada,Toke,98.81%,"435,032","10,487",88,"1,648","2,626"
19,870,United States,Toonmasta,97.42%,"96,211","10,487",30,570,671
20,871,Lithuania,ReusoL,99.22%,"100,971","10,477",304,"1,484","1,190"
21,872,United States,Corim,99.73%,"71,822","10,476",567,"1,539","1,223"
22,873,Germany,[Ryyuu],98.49%,"138,153","10,474",11,187,730
23,874,Singapore,Jazzie,98.25%,"134,662","10,474",59,926,"1,235"
24,875,France,Worne,99.40%,"173,786","10,469","1,514","3,544",228
25,876,Canada,Kaname,98.44%,"102,420","10,466",48,983,"1,065"
26,877,Germany,363636,98.16%,"52,671","10,465",202,"1,617","2,632"
27,878,Russian Federation,MoorE,96.17%,"146,703","10,463",94,"1,298","1,028"
28,879,Germany,wavezz,99.10%,"91,402","10,463",330,"1,738","1,138"
29,880,France,Carbone,98.09%,"121,174","10,462",68,981,"1,509"
30,881,United States,DigitalHypno,99.22%,"87,496","10,461","2,125",596,1
31,882,Taiwan,Shirosora,97.72%,"46,692","10,460",36,673,919
32,883,United Kingdom,EZChamp,97.90%,"52,653","10,458",162,844,719
33,884,France,Fumatsu,98.91%,"82,933","10,458",133,"1,544","1,243"
34,885,United Kingdom,Harpy,99.27%,"64,219","10,456",85,"1,046","1,157"
35,886,Argentina,gonzup,99.69%,"32,100","10,451",153,341,2
36,887,United States,CPUGeek,99.37%,"131,635","10,448",295,"1,698",762
37,888,United States,Enju-chan,96.77%,"112,155","10,447",21,701,574
38,889,United States,Blue-Fox,97.92%,"69,036","10,445",138,"1,093","1,736"
39,890,United States,Asdeoff,98.47%,"51,972","10,443",198,"1,848","2,113"
40,891,United States,datlizad,98.28%,"129,980","10,442","1,018","1,814","1,554"
41,892,Singapore,SeeL,99.02%,"134,192","10,440",99,"1,304",881
42,893,Philippines,LERLPA,96.21%,"105,533","10,439",14,526,730
43,894,Canada,kyle,98.08%,"147,222","10,438",16,"1,469","1,743"
44,895,Iceland,Arni,98.63%,"98,337","10,437",70,984,"1,145"
45,896,Germany,Splinter572,98.46%,"227,939","10,435",721,"2,024","1,019"
46,897,Kuwait,CozyMF,97.58%,"112,945","10,435",55,660,737
47,898,Taiwan,s3552515,98.84%,"85,106","10,434",31,845,672
48,899,Greece,JackPaX,98.14%,"73,346","10,431",577,"3,263","3,123"
49,900,France,ExLeaF,98.20%,"79,061","10,431",56,749,734
0,901,Singapore,Nakano-,98.66%,"232,481","10,430",713,"3,208",247
1,902,Romania,_AfterWind,98.69%,"95,907","10,428",182,"1,759","1,644"
2,903,United Kingdom,Zyphox,97.99%,"66,625","10,428",33,963,"1,786"
3,904,United States,Cloofy,98.82%,"95,532","10,426",188,"1,366","2,258"
4,905,Moldova,sadjelly,97.03%,"16,365","10,425",4,268,393
5,906,Australia,tutula,98.21%,"81,160","10,425",53,651,770
6,907,China,DuNai,98.44%,"114,201","10,425",58,"1,991","1,742"
7,908,Poland,AstroFP,99.61%,"110,643","10,421",412,"2,036","2,814"
8,909,Poland,lowju,98.51%,"131,622","10,418",132,"1,508","2,206"
9,910,Japan,chokma,98.64%,"71,906","10,416",109,"1,004",883
10,911,Russian Federation,Hidemi,97.69%,"48,840","10,416",6,187,692
11,912,Norway,Hundur,98.98%,"140,501","10,416",93,"1,111","1,723"
12,913,United States,Nethersonic,97.47%,"97,031","10,413",60,584,"1,157"
13,914,Moldova,Lucrise,95.92%,"16,001","10,412",7,192,389
14,915,Hungary,aleho8,98.54%,"48,417","10,408",23,805,895
15,916,Canada,egg nog,98.57%,"113,305","10,408",54,655,933
16,917,Canada,Mekaru,98.50%,"116,847","10,408",161,"1,741","1,723"
17,918,United States,explosionboom,99.16%,"80,692","10,408",161,"1,234","1,244"
18,919,Argentina,Mariano,98.11%,"133,308","10,406","1,337","1,319","1,265"
19,920,South Korea,Gomo Pslvarh,98.74%,"81,653","10,404","2,756","3,441",986
20,921,United Kingdom,Thighlicker,96.95%,"69,736","10,402",25,400,490
21,922,Singapore,Soba Noodles,97.84%,"33,340","10,400",50,"1,937","1,350"
22,923,United States,TheRealZachTV,98.77%,"88,828","10,400",136,"1,167","2,180"
23,924,Croatia,Kughxy,96.38%,"60,230","10,399",28,835,963
24,925,Taiwan,Rucker,99.49%,"182,203","10,398","3,880","4,506",954
25,926,Thailand,Phirse,92.92%,"73,265","10,398",8,328,511
26,927,Germany,iFakeRz,98.09%,"104,647","10,397",12,253,639
27,928,Indonesia,Landegre-,98.60%,"80,909","10,397",203,987,"1,106"
28,929,Russian Federation,JumpLess,98.11%,"105,991","10,395",29,683,"1,284"
29,930,Australia,onyaga,99.15%,"144,356","10,391",196,915,"1,932"
30,931,South Korea,Reillia,98.96%,"79,752","10,391",145,"1,257",949
31,932,Belgium,MetaBee,98.96%,"77,371","10,390",186,"1,759","1,687"
32,933,United States,LethalCylinder,98.50%,"107,644","10,385",24,400,768
33,934,France,tSUNdereSLAYER,98.03%,"93,121","10,384",17,537,"1,081"
34,935,Poland,Nowitskey,98.92%,"63,158","10,384",205,"1,579","1,168"
35,936,Russian Federation,Zee,97.58%,"76,818","10,383",6,187,461
36,937,Russian Federation,retina_,97.60%,"76,101","10,381",2,129,392
37,938,Singapore,Wolpis,99.42%,"191,918","10,380",158,"1,300","2,184"
38,939,China,Firika,95.21%,"95,236","10,379",167,765,"1,032"
39,940,Argentina,Pein,98.72%,"178,788","10,376",672,"3,148","1,975"
40,941,United Kingdom,Glitter Goose,99.55%,"69,544","10,376",17,368,722
41,942,Canada,Yip,98.18%,"67,379","10,376",54,"1,172","1,658"
42,943,United States,MrToxicTaco,97.87%,"71,542","10,373",28,787,"1,735"
43,944,United States,Chzaron,98.91%,"87,451","10,372",354,768,176
44,945,Brazil,Mismagius,97.43%,"156,071","10,369",514,"5,121",984
45,946,Vietnam,Huukun,97.22%,"162,493","10,368",206,"1,934",866
46,947,South Korea,ftg,99.04%,"122,145","10,367",58,"1,091",949
47,948,Argentina,Nykke,98.93%,"87,774","10,365",67,694,744
48,949,Malaysia,Shimon,97.18%,"133,110","10,365",41,412,"1,123"
49,950,Russian Federation,Yurachka,98.46%,"108,965","10,362",50,834,"1,417"
0,951,United States,Glotee,97.56%,"46,293","10,361",46,539,"1,046"
1,952,Finland,hakoi,96.95%,"82,847","10,360",44,329,470
2,953,Germany,GermanLetsPlay,98.48%,"57,474","10,359",26,838,"2,478"
3,954,Canada,Yuuki-chan,98.71%,"143,979","10,357",140,"1,130","1,286"
4,955,Malaysia,Rampax,98.39%,"203,486","10,355",28,"1,333","2,196"
5,956,United States,im flat,95.45%,"28,717","10,352",22,247,319
6,957,Latvia,honnijs,98.94%,"56,365","10,351",25,492,"1,404"
7,958,Canada,Seoulsim,96.16%,"99,466","10,350",17,519,796
8,959,Brazil,Dafonz,98.27%,"51,102","10,350",36,669,900
9,960,Belgium,Yentis,99.34%,"75,655","10,350",380,"3,780",986
10,961,Ukraine,AlasMO,97.96%,"87,632","10,349",14,452,893
11,962,Chile,Citrica,97.89%,"55,921","10,349",53,"1,009",937
12,963,Argentina,Amuro,99.65%,"165,305","10,346",588,"3,719","1,616"
13,964,Poland,Nourios,93.33%,"78,806","10,346",13,297,448
14,965,Brazil,SAPIN_,97.97%,"107,905","10,343",40,336,738
15,966,China,GGBY,98.65%,"226,836","10,343","1,556","13,894",492
16,967,Germany,0xygen,97.88%,"113,615","10,343",15,263,900
17,968,United States,Junjou,98.74%,"137,007","10,342",219,"2,099","1,209"
18,969,United States,benji cant acc,94.08%,"73,383","10,342",22,235,244
19,970,Argentina,BossPlays,97.57%,"107,699","10,341",113,894,"1,620"
20,971,Malaysia,haruchi,98.25%,"85,049","10,340",32,691,749
21,972,United States,Vinswag,99.29%,"106,999","10,338",129,"1,818","1,656"
22,973,United States,Tokii,97.22%,"100,922","10,338",75,624,642
23,974,United States,PizzaLovers007,98.96%,"33,034","10,337",39,"1,015",993
24,975,Japan,Sheba,99.20%,"126,497","10,336","2,128","2,143",281
25,976,United States,chezbananas,98.49%,"124,799","10,335",144,"2,040",729
26,977,Vietnam,FukutoTojido,95.39%,"97,713","10,334",38,542,786
27,978,Hong Kong,iRedi,96.23%,"53,789","10,334",16,965,"1,356"
28,979,United States,_WinRAWR,98.84%,"140,684","10,334",77,796,957
29,980,Slovakia,AtHeoN,99.04%,"145,986","10,334",108,"1,863",940
30,981,South Korea,Latina,98.10%,"85,045","10,331",16,439,820
31,982,United Kingdom,pod,98.21%,"48,269","10,329",62,747,893
32,983,United States,Avenging_Goose,99.25%,"62,160","10,329",182,"1,040","1,263"
33,984,Germany,Flonka,99.40%,"75,866","10,329",277,"1,150","1,722"
34,985,Japan,ponbot,97.60%,"93,358","10,328",50,572,"1,101"
35,986,Czech Republic,CutoNaito,97.19%,"75,785","10,327",33,691,766
36,987,China,Shizaki Kanon,98.53%,"71,243","10,323",22,"1,115",943
37,988,Estonia,Tiger Claw,97.87%,"135,497","10,322",49,"1,121","1,712"
38,989,China,DomenCherry,98.17%,"52,598","10,322",69,759,"1,687"
39,990,South Korea,QwQ,94.62%,"60,261","10,321",25,348,"1,188"
40,991,Bulgaria,_2K,98.92%,"40,974","10,321",29,482,"1,899"
41,992,China,WadsyaName-,97.14%,"177,965","10,321",69,"1,429","1,709"
42,993,United Kingdom,AJT,98.44%,"175,786","10,321",260,"1,341","1,634"
43,994,Philippines,Anzu Takakura,98.36%,"105,700","10,318",20,463,781
44,995,China,q_q,96.87%,"80,384","10,316",56,800,976
45,996,Sweden,Octagon,97.39%,"115,803","10,316",300,"1,959","3,151"
46,997,Norway,Melvr,98.31%,"110,131","10,316",48,630,900
47,998,Denmark,cat burger,98.41%,"59,901","10,316",56,764,"1,977"
48,999,China,- Flandre -,96.89%,"143,610","10,316",14,670,"1,413"
49,1000,Ireland,Mewtz,93.70%,"83,484","10,315",42,332,484
0,1001,Colombia,Rushy,97.50%,"85,712","10,313",10,371,627
1,1002,India,tin,98.67%,"81,639","10,311",36,476,786
2,1003,Japan,Eryth,98.89%,"70,614","10,310",147,"1,304","1,231"
3,1004,United States,-Visceral-,98.84%,"96,080","10,309",137,"1,012","1,854"
4,1005,Singapore,xPikachu,96.19%,"63,680","10,305",79,895,980
5,1006,Canada,Vespirit,99.26%,"165,840","10,305","3,510","3,673",505
6,1007,Canada,accent,97.71%,"44,232","10,302",82,582,974
7,1008,Vietnam,Shironi,98.27%,"55,981","10,301",8,489,865
8,1009,Israel,Kyoko,98.98%,"89,258","10,300",261,669,537
9,1010,Russian Federation,Chanki,95.69%,"260,034","10,299",59,"2,609","3,174"
10,1011,Italy,-Miky-,98.74%,"83,166","10,296",169,905,833
11,1012,United States,Jace,98.54%,"144,728","10,292",102,"1,855","1,585"
12,1013,United States,crackhead,99.10%,"121,664","10,290",165,"1,101","1,494"
13,1014,Spain,EIVO,98.83%,"87,012","10,286",103,662,684
14,1015,France,JapWhite,98.79%,"71,545","10,285",25,214,660
15,1016,France,Hifkil,98.75%,"28,881","10,283",10,383,402
16,1017,Malaysia,Kynexiz,98.26%,"139,424","10,283",141,"1,600","2,102"
17,1018,Lithuania,bze,97.32%,"77,251","10,281",46,543,"1,192"
18,1019,Russian Federation,GoonDugLer,97.60%,"52,613","10,281",29,"1,298","1,795"
19,1020,Germany,ima,98.62%,"55,814","10,280",23,598,"1,257"
20,1021,Russian Federation,MGM,98.04%,"190,740","10,279",202,890,"2,110"
21,1022,Canada,Saryi,99.41%,"93,250","10,279",281,"1,620","1,369"
22,1023,Japan,KonKonKinakoN,98.18%,"57,996","10,279",51,514,781
23,1024,Israel,Haida,99.42%,"56,871","10,277","1,036","2,277",173
24,1025,China,Anya Maki,98.40%,"110,454","10,277",31,529,821
25,1026,Poland,Dinoxe,99.32%,"85,867","10,276",46,623,"1,041"
26,1027,Brazil,Texats,98.74%,"109,068","10,276",84,"1,565","1,321"
27,1028,Russian Federation,Zavarka,98.33%,"192,581","10,275","1,816","1,922","1,335"
28,1029,Japan,Siae,99.13%,"77,042","10,273",309,"2,044","1,796"
29,1030,Canada,Alden,97.70%,"124,377","10,273",157,"1,347",903
30,1031,United States,Rinny-Chan,96.72%,"141,755","10,272",16,"1,005","1,570"
31,1032,United States,pineqpple,98.33%,"48,072","10,270",24,193,387
32,1033,Brazil,Lincoln,98.16%,"141,279","10,269",492,779,"1,774"
33,1034,Germany,MarthXT,98.51%,"134,606","10,268",474,"2,552","2,276"
34,1035,Estonia,Save Me,98.85%,"35,066","10,267",16,164,284
35,1036,Canada,Arav,97.24%,"68,997","10,267",60,868,918
36,1037,Canada,xd Jonathan,97.17%,"66,040","10,265",93,515,489
37,1038,France,Besta,98.30%,"99,440","10,265",91,"1,184","1,927"
38,1039,South Korea,[Lunatic Bell],98.25%,"149,801","10,261",21,"1,147",876
39,1040,Japan,yuilemo,98.83%,"56,601","10,260",69,"1,100",794
40,1041,Brazil,favela,99.53%,"78,688","10,260",81,"1,120",356
41,1042,Brazil,Fenrir,99.46%,"95,068","10,260",314,"2,381",671
42,1043,United States,Grey-,98.68%,"61,412","10,260",9,533,"1,024"
43,1044,Japan,Yazone,98.95%,"120,820","10,256",162,"1,574","1,406"
44,1045,Poland,Burtpi,99.21%,"135,727","10,255",548,"1,259","1,681"
45,1046,Greece,Grapheon,97.20%,"223,849","10,254",28,688,838
46,1047,Germany,HAFTBEFEHL,98.58%,"81,950","10,253",27,506,"1,109"
47,1048,Poland,Lixarious,97.69%,"95,142","10,253",175,947,"1,106"
48,1049,United States,PCBetaphish,98.55%,"98,566","10,245",61,"1,135","2,108"
49,1050,Japan,Nakocchi,98.71%,"81,231","10,245",471,"3,141","2,366"
0,1051,United States,Kanikou,99.08%,"39,670","10,244",39,783,"1,307"
1,1052,France,VROUM CV VITE,97.29%,"106,146","10,244",384,"1,718","1,816"
2,1053,Germany,Dekou,97.27%,"124,159","10,243",84,716,"1,191"
3,1054,United States,Jinpe,97.95%,"87,646","10,243",87,587,377
4,1055,South Korea,My Aim Trash,98.89%,"173,230","10,239",216,"1,698","1,960"
5,1056,Germany,Vyshus,99.13%,"136,029","10,239",124,"1,326","1,170"
6,1057,Finland,Haadez,97.48%,"95,276","10,238","3,397","2,000","2,578"
7,1058,United States,my angel mode,97.46%,"81,527","10,236",231,"2,834","2,781"
8,1059,New Zealand,Yinchiko,94.59%,"31,253","10,236",25,484,389
9,1060,South Korea,Rinka,97.67%,"232,221","10,234",409,"1,590",465
10,1061,Finland,mrspit23,97.39%,"91,999","10,232",12,330,784
11,1062,Japan,Reira,99.42%,"54,548","10,231",62,752,"1,077"
12,1063,Brazil,Astris,98.82%,"201,100","10,230",54,"1,080","1,963"
13,1064,United States,nobully,98.86%,"41,686","10,229",65,704,803
14,1065,Japan,Venyera,99.14%,"58,035","10,229",83,852,"1,193"
15,1066,United States,Terra,97.51%,"118,345","10,229",39,793,"1,279"
16,1067,United States,GHAngeloid,98.99%,"168,785","10,228",460,"5,022","1,242"
17,1068,Finland,Sonoda-Umi,99.00%,"57,124","10,227",91,"1,183","1,453"
18,1069,Lithuania,QonQuest,98.70%,"163,876","10,226",191,"2,682","1,676"
19,1070,Czech Republic,mnbvcxy12345678,97.54%,"147,623","10,225",590,"1,389","1,127"
20,1071,Netherlands,Manievat,97.24%,"87,717","10,223",76,731,951
21,1072,Russian Federation,V4RCH,97.44%,"90,988","10,220",78,796,830
22,1073,United States,Literal Garbage,98.93%,"110,210","10,220",280,"2,001","1,807"
23,1074,United States,TylerXD,96.52%,"20,418","10,216",10,183,420
24,1075,Russian Federation,Unikenl,98.69%,"79,100","10,216",100,891,"1,314"
25,1076,Ukraine,Dim0ND,98.67%,"127,726","10,215",255,855,"1,069"
26,1077,United States,DualAkira,97.91%,"133,829","10,215",239,"1,056","1,313"
27,1078,France,My Not,98.78%,"129,209","10,215",143,"2,720","2,306"
28,1079,Japan,oxycodone,97.51%,"194,253","10,214",63,"1,186","1,113"
29,1080,Canada,Dawt,96.37%,"36,760","10,213",45,682,284
30,1081,Philippines,fixedbyglue,98.76%,"73,422","10,211",118,915,"1,002"
31,1082,Kazakhstan,Ayya Novak,98.64%,"62,825","10,209",69,988,901
32,1083,New Zealand,Nucifera,98.26%,"172,613","10,206",41,477,"1,211"
33,1084,South Korea,[KOR]Kosaki,98.26%,"144,447","10,206",58,950,276
34,1085,China,872316468,98.32%,"113,377","10,205",18,"2,731",633
35,1086,Turkey,black person,95.69%,"44,498","10,205",8,277,762
36,1087,Canada,Hina-san,99.17%,"111,321","10,205",26,488,465
37,1088,Colombia,MasterDaniel,95.13%,"80,779","10,205",8,501,609
38,1089,Poland,VulcanV2,97.33%,"138,976","10,201",9,287,"1,317"
39,1090,Canada,boblint,96.25%,"38,794","10,201",14,303,506
40,1091,China,MaKenanbuReraaa,97.73%,"173,048","10,201",115,"2,710","1,326"
41,1092,United Kingdom,noxwoo,98.07%,"62,230","10,200",47,732,995
42,1093,United States,UberFazz,97.23%,"71,127","10,200",47,511,"1,613"
43,1094,Germany,- Slice -,99.72%,"186,293","10,199",897,"2,020",852
44,1095,United States,Sqweeblord,97.74%,"67,109","10,196",49,825,"1,478"
45,1096,France,Lightedd,98.22%,"84,902","10,195",439,"3,230","2,799"
46,1097,Chile,- Hakurei Kou -,98.18%,"320,701","10,190",99,925,344
47,1098,United States,NiuCriu,96.13%,"83,440","10,185",23,564,762
48,1099,Netherlands,Syph,98.68%,"95,709","10,183",45,681,"1,479"
49,1100,Lithuania,Shelbis,98.69%,"80,150","10,183",52,802,"1,079"
0,1101,Russian Federation,DaHuJka,99.16%,"122,615","10,182",64,772,"1,564"
1,1102,Spain,Loluh,93.74%,"39,279","10,179",49,773,888
2,1103,Italy,Carretto,98.80%,"162,082","10,179",9,"1,491","2,695"
3,1104,Mexico,-Shouta-Kun-,99.17%,"84,316","10,178",151,"1,171","1,051"
4,1105,Japan,Invoker,97.79%,"132,830","10,177",4,748,282
5,1106,Mexico,Psycopath-,99.02%,"223,391","10,177",39,"1,054","1,157"
6,1107,United States,Iylwrychi,98.27%,"51,453","10,177",364,958,915
7,1108,United States,WantPrinzThighs,98.59%,"84,403","10,174",28,541,781
8,1109,Russian Federation,Desew,98.51%,"130,848","10,174",50,"1,354","2,162"
9,1110,United States,Exai,98.14%,"174,165","10,171",160,763,"1,242"
10,1111,United States,Python,97.61%,"174,073","10,169",118,"1,000","1,519"
11,1112,Russian Federation,Snakeq,98.58%,"188,570","10,169",354,"1,501","1,462"
12,1113,United Kingdom,bahamete,98.55%,"105,021","10,167",164,"1,069",557
13,1114,Russian Federation,HikkaSka,96.56%,"51,560","10,167",37,858,944
14,1115,South Korea,Meltina,99.17%,"110,965","10,165",165,"1,987",936
